"Metabolite.name","Replicate.Name","Adjusted.Area","Area.with.QC","RF.ratio","RF.max","RF.min","RF.ave","umol.in.vial.ave","umol.in.vial.max","umol.in.vial.min","umol.in.vial_IS","nmol.in.Enviro.ave","Emperical.Formula","C","N","nmol.C.ave","nmol.N.ave","totalCmeasured_nM_perID","totalNmeasured_nM_perID","ratioCN","molFractionC","molFractionN"
"(3-Carboxypropyl)trimethylammonium (TMAB)","180821_Poo_Day1and2Poo_Full1",50819184.0983607,52100340,2.38186084756828,254536.5,48267.5,151402,140.92228949961,442.034836584036,83.8226206254111,NA,11.2737831599688,"C7H16NO2",7,1,78.9164821197816,11.2737831599688,3757.93509465767,1525.06764800998,2.46411042786286,0.0209999587890622,0.00739231677668836
"(3-Carboxypropyl)trimethylammonium (TMAB)","180821_Poo_Day1and2Poo_Full2",38608406.8196721,39581728,2.38186084756828,254536.5,48267.5,151402,107.061637834049,335.823195552922,63.6818141655545,NA,8.56493102672391,"C7H16NO2",7,1,59.9545171870674,8.56493102672391,3757.93509465767,1525.06764800998,2.46411042786286,0.0159541119462919,0.00561609908773561
"(3-Carboxypropyl)trimethylammonium (TMAB)","180821_Poo_Day1and2Poo_Full3",54495843.2131148,55869688,2.38186084756828,254536.5,48267.5,151402,151.117715289169,474.015110171663,89.8870076794908,NA,12.0894172231335,"C7H16NO2",7,1,84.6259205619345,12.0894172231335,3757.93509465767,1525.06764800998,2.46411042786286,0.0225192608255102,0.00792713506112906
"(3-Carboxypropyl)trimethylammonium (TMAB)","180821_Poo_Day1and2Poo_Full4",62067750.7868852,63632484,2.38186084756828,254536.5,48267.5,151402,172.114718096413,539.876988641077,102.376329325001,NA,13.7691774477131,"C7H16NO2",7,1,96.3842421339915,13.7691774477131,3757.93509465767,1525.06764800998,2.46411042786286,0.025648192346646,0.00902856831674329
"(3-Carboxypropyl)trimethylammonium (TMAB)","180821_Poo_Day1and2Poo_Full5",62504453.4754098,64080196,2.38186084756828,254536.5,48267.5,151402,173.325700598187,543.675510891732,103.096639271644,NA,13.866056047855,"C7H16NO2",7,1,97.0623923349847,13.866056047855,3757.93509465767,1525.06764800998,2.46411042786286,0.025828650546139,0.0090920924497667
"(3-Carboxypropyl)trimethylammonium (TMAB)","180821_Poo_Day1and2Poo_Full6",66972435.2786885,68660816,2.38186084756828,254536.5,48267.5,151402,185.71547497831,582.538858293181,110.466256677003,NA,14.8572379982648,"C7H16NO2",7,1,104.000665987854,14.8572379982648,3757.93509465767,1525.06764800998,2.46411042786286,0.0276749500372431,0.00974201899676494
"(3-Carboxypropyl)trimethylammonium (TMAB)","180821_Poo_Day1and2Poo_Half1",54193212.557377,27779714,2.38186084756828,254536.5,48267.5,151402,150.278516359946,471.38277171862,89.387839991233,NA,12.0222813087956,"C7H16NO2",7,1,84.1559691615695,12.0222813087956,3757.93509465767,1525.06764800998,2.46411042786286,0.0223942050732081,0.00788311346351307
"(3-Carboxypropyl)trimethylammonium (TMAB)","180821_Poo_Day1and2Poo_Half2",41907043.9016393,21481762,2.38186084756828,254536.5,48267.5,151402,116.208803379238,364.515362287737,69.1226808305424,NA,9.29670427033902,"C7H16NO2",7,1,65.0769298923731,9.29670427033902,3757.93509465767,1525.06764800998,2.46411042786286,0.0173172043298159,0.00609592911007591
"(3-Carboxypropyl)trimethylammonium (TMAB)","180821_Poo_Day1and2Poo_Half3",57702846.3934426,29578770,2.38186084756828,254536.5,48267.5,151402,160.010778777351,501.910227968062,95.1767307574687,NA,12.800862302188,"C7H16NO2",7,1,89.6060361153163,12.800862302188,3757.93509465767,1525.06764800998,2.46411042786286,0.0238444874268056,0.00839363573077666
"(3-Carboxypropyl)trimethylammonium (TMAB)","180821_Poo_Day1and2Poo_Half4",63964017.7377049,32788278,2.38186084756828,254536.5,48267.5,151402,177.373092172131,556.371075797276,105.504086451432,NA,14.1898473737705,"C7H16NO2",7,1,99.3289316163935,14.1898473737705,3757.93509465767,1525.06764800998,2.46411042786286,0.026431784773931,0.0093044052126386
